EMP_ID,FIRST_NAME,LAST_NAME,GENDER,ROLE,DEPT,EXP,COUNTRY,CONTINENT,MANAGER ID
E083,Patrick,Voltz,M,MANAGER,HEALTHCARE,15,USA,NORTH AMERICA,E002
E052,Dianna,Wilson,F,SENIOR DATA SCIENTIST,HEALTHCARE,6,CANADA,NORTH AMERICA,E083
E057,Dorothy,Wilson,F,SENIOR DATA SCIENTIST,HEALTHCARE,9,USA,NORTH AMERICA,E083
E505,Chad,Wilson,M,ASSOCIATE DATA SCIENTIST,HEALTHCARE,5,CANADA,NORTH AMERICA,E083
E260,Roy,Collins,M,SENIOR DATA SCIENTIST,RETAIL,7,INDIA,ASIA,E583
E245,Nian,Zhen,M,SENIOR DATA SCIENTIST,RETAIL,6,CHINA,ASIA,E583
E583,Janet,Hale,F,MANAGER,RETAIL,14,COLOMBIA,SOUTH AMERICA,E002
E428,Pete,Allen,M,MANAGER,AUTOMOTIVE,14,GERMANY,EUROPE,E002
E532,Claire,Brennan,F,ASSOCIATE DATA SCIENTIST,AUTOMOTIVE,3,GERMANY,EUROPE,E428
E005,Eric,Hoffman,M,LEAD DATA SCIENTIST,FINANCE,11,USA,NORTH AMERICA,E103
E403,Steve,Hoffman,M,ASSOCIATE DATA SCIENTIST,FINANCE,4,USA,NORTH AMERICA,E103
E103,Emily,Grove,F,MANAGER,FINANCE,14,CANADA,NORTH AMERICA,E002
E620,Katrina,Allen,F,JUNIOR DATA SCIENTIST,RETAIL,2,INDIA,ASIA,E583
E640,Jenifer,Jhones,F,JUNIOR DATA SCIENTIST,RETAIL,1,COLOMBIA,SOUTH AMERICA,E583
E612,Tracy,Norris,F,MANAGER,RETAIL,13,INDIA,ASIA,E002
E002,Cynthia,Brooks,F,PRESIDENT,ALL,17,CANADA,NORTH AMERICA,E001
E001,Arthur,Black,M,CEO,ALL,20,USA,NORTH AMERICA,E001
